title,price,link_item,index_,discount,discount_percent,countReviews
[Sale 15.10] Điện Thoại OPPO A58 (6GB/128GB) - Hàng Chính Hãng,4.990.000 ₫,https://www.lazada.vn/products/sale-1510-dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,1,,,"7.0K Đã bán
(2070)
Hà Nội"
Điện thoại xperia,1.500 ₫,https://www.lazada.vn/products/dien-thoai-xperia-i2796786381.html,2,,,Hồ Chí Minh
HD-28 Giá đỡ gấp | Giá đỡ điện thoại | COD,6.300 ₫,https://www.lazada.vn/products/hd-28-gia-do-gap-gia-do-dien-thoai-cod-i2489957284.html,3,,,"16.8K Đã bán
(6363)
Long An"
iPhone 16 Pro Max - Hàng Chính Hãng VN/A,34.999.000 ₫,https://www.lazada.vn/products/iphone-16-pro-max-hang-chinh-hang-vna-i2792189799.html,4,,,"938 Đã bán
(146)
Hồ Chí Minh"
[Sale 15.10] Điện thoại OPPO A38 4GB/128GB - Hàng chính hãng,3.990.000 ₫,https://www.lazada.vn/products/sale-1510-dien-thoai-oppo-a38-4gb128gb-hang-chinh-hang-i2578470532.html,5,,,"384 Đã bán
(100)
Hồ Chí Minh"
iPhone 16 Pro - Hàng Chính Hãng VN/A,28.999.000 ₫,https://www.lazada.vn/products/iphone-16-pro-hang-chinh-hang-vna-i2792095339.html,6,,,"284 Đã bán
(70)
Hồ Chí Minh"
iPhone 15 Plus - Hàng Chính Hãng VN/A,22.289.000 ₫,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html,7,,,"1.3K Đã bán
(371)
Hồ Chí Minh"
"Điện thoại Nubia ZTE Blade A35 4GB/64GB I 5000Mah I 6.75"" HD+ 90Hz",2.350.000 ₫,https://www.lazada.vn/products/dien-thoai-nubia-zte-blade-a35-4gb64gb-i-5000mah-i-675-hd-90hz-i2758325429.html,8,,,"9 Đã bán
(5)
Hồ Chí Minh"
iPhone 15 Pro 128GB Chính Hãng VN/A,26.090.000 ₫,https://www.lazada.vn/products/iphone-15-pro-128gb-chinh-hang-vna-i2418355024.html,9,,,"12 Đã bán
Hồ Chí Minh"
"[ GIÁ RẺ VÔ ĐỊCH ] điện thoại giá siêu rẻ Samsung Galaxy J2 Prime 2sim máy Chính Hãng, nghe gọi tốt, Camera nét, cảm ứng mượt",280.000 ₫,https://www.lazada.vn/products/gia-re-vo-dich-dien-thoai-gia-sieu-re-samsung-galaxy-j2-prime-2sim-may-chinh-hang-nghe-goi-tot-camera-net-cam-ung-muot-i2392372731.html,10,,,"86 Đã bán
(28)
Thái Bình"
